Dataset_ID,Title,Theme,Description,Creation_Date,Completion_Date,Last_Update,Format ,Language,Geography,License ,Layer,Language_Resource,Knowledge_Resource,Data_Resource,Web_Page,Author,Project
Dataset_C_6,Trentino Transportation,Transportation,"Knowledge Graph regarding Trentino Transportation, which integrated the whole data of public and sharing vehicles within Trentino",2020-12-22,2021-01-27,2021-01-27,CSV-GTFS; JSON; TXT,EN,Trentino (IT),Apache 2.0,Data; Knowledge,,Dataset_S_5,Dataset_S_3,https://drive.google.com/drive/folders/1d7QPcG3uI9aHw_UXUsKuiDtCzOwapA-f,Person_3,KGE_P_1
Dataset_C_6,Trentino Transportation,Transportation,"Knowledge Graph regarding Trentino Transportation, which integrated the whole data of public and sharing vehicles within Trentino",2020-12-22,2021-01-27,2021-01-27,CSV-GTFS; JSON; TXT,EN,Trentino (IT),Apache 2.0,Data; Knowledge,,Dataset_S_5,Dataset_S_3,https://drive.google.com/drive/folders/1d7QPcG3uI9aHw_UXUsKuiDtCzOwapA-f,Person_4,KGE_P_1
Dataset_C_7,SmartUnitn1,University,"Dataset which contains diachronic data about the everyday life of seventy-two university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-10,2016-11-01,,DOCX,EN,Trentino (IT),,Data; Knowledge,,,,https://livepeople.datascientia.eu/dataset/smartunitn1,Person_8,STD_P_1
Dataset_C_7,SmartUnitn1,University,"Dataset which contains diachronic data about the everyday life of seventy-two university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-10,2016-11-01,,DOCX,EN,Trentino (IT),,Data; Knowledge,,,,https://livepeople.datascientia.eu/dataset/smartunitn1,Person_10,STD_P_1
Dataset_C_7,SmartUnitn1,University,"Dataset which contains diachronic data about the everyday life of seventy-two university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-10,2016-11-01,,DOCX,EN,Trentino (IT),,Data; Knowledge,,,,https://livepeople.datascientia.eu/dataset/smartunitn1,Person_11,STD_P_1
Dataset_C_7,SmartUnitn1,University,"Dataset which contains diachronic data about the everyday life of seventy-two university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-10,2016-11-01,,DOCX,EN,Trentino (IT),,Data; Knowledge,,,,https://livepeople.datascientia.eu/dataset/smartunitn1,Person_12,STD_P_1
Dataset_C_7,SmartUnitn1,University,"Dataset which contains diachronic data about the everyday life of seventy-two university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-10,2016-11-01,,DOCX,EN,Trentino (IT),,Data; Knowledge,,,,https://livepeople.datascientia.eu/dataset/smartunitn1,Person_13,STD_P_1
Dataset_C_8,SmartUnitn2,University,"Dataset which contains diachronic data about the everyday life of one hundred fifty-eight university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-11,2018-06-01,2022-03-14,CSV; PDF,EN,Trentino (IT),,Data; Knowledge,,Dataset_S_9,Dataset_S_10,https://livepeople.datascientia.eu/dataset/smartunitn2,Person_8,STD_P_1
Dataset_C_8,SmartUnitn2,University,"Dataset which contains diachronic data about the everyday life of one hundred fifty-eight university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-11,2018-06-01,2022-03-14,CSV; PDF,EN,Trentino (IT),,Data; Knowledge,,Dataset_S_9,Dataset_S_10,https://livepeople.datascientia.eu/dataset/smartunitn2,Person_10,STD_P_1
Dataset_C_8,SmartUnitn2,University,"Dataset which contains diachronic data about the everyday life of one hundred fifty-eight university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-11,2018-06-01,2022-03-14,CSV; PDF,EN,Trentino (IT),,Data; Knowledge,,Dataset_S_9,Dataset_S_10,https://livepeople.datascientia.eu/dataset/smartunitn2,Person_14,STD_P_1
Dataset_C_8,SmartUnitn2,University,"Dataset which contains diachronic data about the everyday life of one hundred fifty-eight university students over a period of four weeks, and also additional synchronic data about profile, e.g., demographics, routines, personality. The diachronic data are collected from sixteen sensors, both hardware and software, associated to around 100+ thousand self-reported annotations. The dataset has been collected based on an ontological representation of the situational context and following various reference standards, e.g., HETUS and the Big Five. The data collection is motivated by the rise of so-called people-centric sensing paradigm, wherein sensors embedded in mobile phones and other wireless devices are used to collect large quantities of continuous data pertaining to the behavior of individuals and social networks. These datasets offer unique opportunities to investigate the diversity and daily routines of university students in a multi-layered perspective.",2016-11,2018-06-01,2022-03-14,CSV; PDF,EN,Trentino (IT),,Data; Knowledge,,Dataset_S_9,Dataset_S_10,https://livepeople.datascientia.eu/dataset/smartunitn2,Person_15,STD_P_1
Dataset_S_9,Documentation,University,"Detailed description of the data, including codebooks and documentation",2016-11,2018-06-01,2022-03-14,PDF,EN,Trentino (IT),,Knowledge,,,Dataset_S_10,https://drive.google.com/file/d/1bZNMCJLS87qGXGYcT8SWQrcgX8bqmbUK/view?usp=sharing,Person_8,STD_P_1
Dataset_S_9,Documentation,University,"Detailed description of the data, including codebooks and documentation",2016-11,2018-06-01,2022-03-14,PDF,EN,Trentino (IT),,Knowledge,,,Dataset_S_10,https://drive.google.com/file/d/1bZNMCJLS87qGXGYcT8SWQrcgX8bqmbUK/view?usp=sharing,Person_10,STD_P_1
Dataset_S_9,Documentation,University,"Detailed description of the data, including codebooks and documentation",2016-11,2018-06-01,2022-03-14,PDF,EN,Trentino (IT),,Knowledge,,,Dataset_S_10,https://drive.google.com/file/d/1bZNMCJLS87qGXGYcT8SWQrcgX8bqmbUK/view?usp=sharing,Person_14,STD_P_1
Dataset_S_9,Documentation,University,"Detailed description of the data, including codebooks and documentation",2016-11,2018-06-01,2022-03-14,PDF,EN,Trentino (IT),,Knowledge,,,Dataset_S_10,https://drive.google.com/file/d/1bZNMCJLS87qGXGYcT8SWQrcgX8bqmbUK/view?usp=sharing,Person_15,STD_P_1
Dataset_S_10,Dataset sample,University,A sample of variables available in the dataset,2016-11,2018-06-01,2022-03-14,CSV,EN,Trentino (IT),,Data,,Dataset_S_9,,https://drive.google.com/file/d/1b_7eWpqPGIAAe0CPUTqmlfxYQCVoF6Mm/view?usp=sharing,Person_8,STD_P_1
Dataset_S_10,Dataset sample,University,A sample of variables available in the dataset,2016-11,2018-06-01,2022-03-14,CSV,EN,Trentino (IT),,Data,,Dataset_S_9,,https://drive.google.com/file/d/1b_7eWpqPGIAAe0CPUTqmlfxYQCVoF6Mm/view?usp=sharing,Person_10,STD_P_1
Dataset_S_10,Dataset sample,University,A sample of variables available in the dataset,2016-11,2018-06-01,2022-03-14,CSV,EN,Trentino (IT),,Data,,Dataset_S_9,,https://drive.google.com/file/d/1b_7eWpqPGIAAe0CPUTqmlfxYQCVoF6Mm/view?usp=sharing,Person_14,STD_P_1
Dataset_S_10,Dataset sample,University,A sample of variables available in the dataset,2016-11,2018-06-01,2022-03-14,CSV,EN,Trentino (IT),,Data,,Dataset_S_9,,https://drive.google.com/file/d/1b_7eWpqPGIAAe0CPUTqmlfxYQCVoF6Mm/view?usp=sharing,Person_15,STD_P_1
Dataset_S_11,geowordnet-rdf-sample-20110330,Language,"A sample of GeoWordNet data, describing is composition",,2015-02-03,,RDF,EN,,CC BY,Knowledge,,,,https://sourceforge.net/projects/s-match/,Person_8,APP_P_1
Dataset_S_11,geowordnet-rdf-sample-20110330,Language,"A sample of GeoWordNet data, describing is composition",,2015-02-03,,RDF,EN,,CC BY,Knowledge,,,,https://sourceforge.net/projects/s-match/,Person_19,APP_P_1
